text,label
The train departs from Platform 4 at exactly 14:15. Please have your tickets ready.,1
Frustrated beyond belief with these constant network outages right before our deadline.,0
The train departs from Platform 4 at exactly 14:15. Please have your tickets ready.,1
The application requires Node.js version 18 or above and MongoDB running locally.,1
Just finished reading the documentation for the new API parameters and status codes.,1
Had a fantastic time celebrating with friends today. Life is wonderful!,2
Here are the quarterly financial statements and benchmark comparisons for Q2.,1
Grateful for all the support from our amazing community. You guys rock!,2
Meeting scheduled for tomorrow morning at 10:30 AM in Conference Room B.,1
Really impressed with the speed and accuracy of this AI model. Phenomenal work!,2
Terrible app update. It crashes every time I try to upload an image or save my progress.,0
Meeting scheduled for tomorrow morning at 10:30 AM in Conference Room B.,1
Checking out the new features listed in the release notes for version 2.4.,1
Meeting scheduled for tomorrow morning at 10:30 AM in Conference Room B.,1
Checking out the new features listed in the release notes for version 2.4.,1
The customer service was top notch and solved my problem within minutes. Thank you!,2
The conference schedule has been posted on the main website under the agenda tab.,1
We have updated our privacy policy and terms of service effective next Monday.,1
The conference schedule has been posted on the main website under the agenda tab.,1
The quality of this item is appalling and broke within two days of normal use. Avoid!,0
Our order was delayed twice without any explanation or refund offer. Unacceptable service.,0
I regret buying this subscription. The features do not work as advertised at all.,0
The train departs from Platform 4 at exactly 14:15. Please have your tickets ready.,1
The customer service was top notch and solved my problem within minutes. Thank you!,2
Such a beautiful sunny morning in the city. Feeling energized and blessed!,2
So stressed out and exhausted from dealing with these endless system failures today.,0
Such a beautiful sunny morning in the city. Feeling energized and blessed!,2
Such a beautiful sunny morning in the city. Feeling energized and blessed!,2
Just finished reading the documentation for the new API parameters and status codes.,1
This product exceeded all my expectations. Worth every single penny!,2
The weather forecast predicts mild temperatures with a slight chance of clouds later today.,1
This product exceeded all my expectations. Worth every single penny!,2
Frustrated beyond belief with these constant network outages right before our deadline.,0
Had a fantastic time celebrating with friends today. Life is wonderful!,2
I regret buying this subscription. The features do not work as advertised at all.,0
I am completely disappointed with the customer support. Nobody answers the phone after waiting an hour!,0
Best meal I've had all year. The flavors were extraordinary and the ambiance was perfect.,2
Congratulations to the engineering team on deploying the new multimodal architecture!,2
